age,gender,ethnicity,fcid_code
0,2,1,603030000
0,2,3,603030000
0,2,1,603030000
0,2,1,603030000
0,1,2,603030000
0,1,2,603030000
0,1,2,603030000
0,2,1,603030000
0,2,1,603030000
0,1,1,603030000
0,1,1,603030000
0,1,2,603030000
1,1,1,603030000
1,1,1,603030000
1,1,2,603030000
1,1,1,603030000
1,2,3,603030000
1,1,3,603030000
1,1,3,603030000
1,2,2,603030000
1,2,1,603030000
1,2,2,603030000
1,1,1,603030000
1,1,2,603030000
1,1,1,603030000
1,2,1,603030000
1,1,1,603030000
1,2,1,603030000
1,2,3,603030000
1,2,1,603030000
1,2,1,603030000
1,2,2,603030000
2,2,1,603030000
2,1,1,603030000
2,2,2,603030000
2,1,1,603030000
2,2,2,603030000
2,2,3,603030000
2,2,2,603030000
2,2,1,603030000
2,2,1,603030000
2,1,1,603030000
2,2,2,603030000
2,2,1,603030000
2,1,2,603030000
2,1,3,603030000
2,2,1,603030000
2,1,1,603030000
2,2,1,603030000
2,1,1,603030000
2,1,2,603030000
2,2,1,603030000
3,1,1,603030000
3,2,1,603030000
3,2,2,603030000
3,1,2,603030000
3,2,1,603030000
3,1,2,603030000
3,1,2,603030000
3,1,2,603030000
3,2,1,603030000
4,2,1,603030000
4,2,1,603030000
4,1,2,603030000
4,2,3,603030000
4,2,3,603030000
4,2,3,603030000
4,1,2,603030000
4,1,1,603030000
4,2,2,603030000
4,2,2,603030000
4,1,1,603030000
4,2,5,603030000
4,2,1,603030000
4,2,1,603030000
5,2,1,603030000
5,2,1,603030000
5,1,1,603030000
5,2,1,603030000
5,2,2,603030000
5,1,3,603030000
5,2,1,603030000
5,1,1,603030000
6,2,1,603030000
6,1,2,603030000
6,1,4,603030000
6,2,1,603030000
6,1,1,603030000
6,2,5,603030000
6,1,1,603030000
6,1,1,603030000
6,2,1,603030000
6,2,2,603030000
7,1,2,603030000
7,1,5,603030000
7,2,1,603030000
7,1,1,603030000
7,1,5,603030000
8,1,1,603030000
8,1,3,603030000
8,1,2,603030000
8,1,1,603030000
8,2,2,603030000
8,1,1,603030000
8,2,2,603030000
8,2,3,603030000
9,2,4,603030000
9,1,1,603030000
9,2,3,603030000
9,1,1,603030000
9,2,3,603030000
9,1,2,603030000
9,2,1,603030000
9,2,2,603030000
9,1,1,603030000
9,2,4,603030000
9,2,1,603030000
9,2,3,603030000
9,2,4,603030000
9,1,3,603030000
10,2,1,603030000
10,2,1,603030000
10,2,1,603030000
10,1,5,603030000
10,1,4,603030000
10,2,1,603030000
